Time,Parameter Message,Line Number
46390.87,BOX 1 START,1002.02
46964.47,BOX 1 END,1002.02
47027.11,BOX 2 START,1002.02
47546.27,BOX2 END,1002.02
49472.03,FUEL PUMP ON,158.00
49665.84,POWER LINES,158.00
50247.47,POWER LINES,160.00
51066.73,POWER LINES,1367.00
51285.39,POWER LINES,1367.00
51733.58,POWER LINES,1002.06
51764.03,FUEL PUMP OFF,1002.06
51923.43,POWER LINES,1368.00
52682.29,POWER LINES,1369.00
52860.64,FUEL PUMP ON,1369.00
52939.57,POWER LINES,1369.00
53618.55,TRAIN TRACKS,3084.00
53755.97,SOLAR FARM,3084.00
53778.77,FUEL PUMP OFF,3084.00
53819.79,POWER LINES,3084.00
53932.94,POWER LINES,3084.00
54529.54,POWER LINES,3085.00
54646.57,POWER LINES,3085.00
54835.12,TRAIN TRACKS,3085.00
55405.78,POWER LINES,3086.00
55529.26,POWER LINES,3086.00
56059.26,POWER LINES,320.00
56094.55,TRAIN TRACKS,320.00
56350.25,FUEL PUMP ON,320.00
56764.86,POWER LINES,1002.12
57068.39,FUEL PUMP OFF,322.00
57285.15,TRAIN TRACKS,322.00
57335.14,POWER LINES,1002.13
57459.34,TRAIN TRACKS,1002.13
57568.42,POWER LINES,1002.14
57996.02,RADIO TALK,1002.14
58011.97,RADIO TALK END,1002.14
58048.73,LIGHTS ON,1002.14
58186.87,LIGHTS OFF,1002.14
58229.47,MOVE FERROUS PIPE,1002.14
58437.77,MOVE FERROUS PIPE,1002.14
58557.09,ACTION FLAPS,1002.14
58679.99,END ACTION FLAPS,1002.14
58964.22,ELECTRIC FAN ON,1002.14
59066.64,TRAIN TRACKS,1002.14
59225.42,ELECTRIC FAN OFF,1002.14
59244.63,AIR CON FANS HIGH,1002.14
59543.09,VARY SPEED,1002.14
59791.94,END SPEED VARIATION,1002.14
59801.28,POWER LINES,1002.14
59852.06,AIRCRAFT ELECTRICS VARY,1002.14
59959.14,AIRCRAFT ELECTRICS SURVEY CONFIG,1002.14
60461.75,POWER LINES,1002.14
60524.55,POWER LINES,1002.14
60766.05,SOLAR FARM,1002.14
61226.51,POWER LINES,1002.15
61413.19,POWER LINES,1002.16
61634.68,POWER LINES,1002.16
61940.05,POWER LINES,1002.16
61954.49,RADIO MIC START,1002.16
61999.92,RADIO MIC END,1002.16
62035.57,LIGHT ON,1002.16
62171.23,LIGHTS OFF,1002.16
62184.84,MOVE FERROUS PIPE,1002.16
62269.80,POWER LINES,1002.16
62370.84,FERROUS PIPE STOWED,1002.16
62395.09,MOVE FLAPS,1002.16
62548.82,END MOVE FLAPS,1002.16
62566.68,ELECTRIC FAN ON,1002.16
62737.01,ELECTRIC FAN OFF,1002.16
62759.29,VARY PEED START,1002.16
62978.37,END VARY SPEED,1002.16
63474.54,POWER LINES,1002.16
64309.45,RADIO MIC START,1002.17
64357.46,RADIO MIC END,1002.17
64430.01,LIGHTS ON,1002.17
64580.20,LIGHTS OFF,1002.17
64637.38,MOVE FERROUS PIPE,1002.17
64819.54,STOW FERROUS PIPE,1002.17
64890.42,MOVE FLAPS,1002.17
65017.70,END MOVE FLAPS,1002.17
65058.05,ELECTRIC FAN ON,1002.17
65277.54,ELECTRIC FAN OFF,1002.17
65303.63,VARY SPEED,1002.17
65471.15,END VARY SPEED,1002.17
65540.91,WEATHER RADAR ON,1002.17
65611.46,POWER LINES,1002.17
65696.36,WEATHER RADAR OFF,1002.17
65823.72,POWER LINES,1002.18
66571.73,BOX 1 START,1002.20
67131.80,BOX 1 END,1002.20
67276.84,BOX 2 START,1002.20
67839.15,BOX 2 END,1002.20
